Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.503255,0.868465,N/A,N/A,TRAIN
1,N/A,N/A,0.008077,0.921167,EVAL
2,0.213293,0.938465,N/A,N/A,TRAIN
2,N/A,N/A,0.005994,0.941083,EVAL
3,0.154448,0.955917,N/A,N/A,TRAIN
3,N/A,N/A,0.004971,0.950417,EVAL
