Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.511260,0.866139,N/A,N/A,TRAIN
1,N/A,N/A,0.007789,0.924167,EVAL
2,0.217316,0.937465,N/A,N/A,TRAIN
2,N/A,N/A,0.005610,0.946083,EVAL
3,0.155144,0.955667,N/A,N/A,TRAIN
3,N/A,N/A,0.004463,0.957167,EVAL
