Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.503600,0.867583,N/A,N/A,TRAIN
1,N/A,N/A,0.007846,0.922917,EVAL
2,0.212018,0.938771,N/A,N/A,TRAIN
2,N/A,N/A,0.005490,0.947250,EVAL
3,0.152229,0.956236,N/A,N/A,TRAIN
3,N/A,N/A,0.004496,0.956917,EVAL
