Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.506734,0.866097,N/A,N/A,TRAIN
1,N/A,N/A,0.008002,0.921750,EVAL
2,0.212106,0.938299,N/A,N/A,TRAIN
2,N/A,N/A,0.005820,0.944583,EVAL
3,0.151994,0.956014,N/A,N/A,TRAIN
3,N/A,N/A,0.004717,0.954500,EVAL
