Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.502421,0.869729,N/A,N/A,TRAIN
1,N/A,N/A,0.008199,0.921750,EVAL
2,0.208116,0.939944,N/A,N/A,TRAIN
2,N/A,N/A,0.006150,0.941083,EVAL
3,0.149894,0.957153,N/A,N/A,TRAIN
3,N/A,N/A,0.004865,0.953250,EVAL
