Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.519883,0.859521,N/A,N/A,TRAIN
1,N/A,N/A,0.007822,0.925000,EVAL
2,0.211823,0.937826,N/A,N/A,TRAIN
2,N/A,N/A,0.005875,0.945667,EVAL
3,0.150867,0.955847,N/A,N/A,TRAIN
3,N/A,N/A,0.004516,0.958583,EVAL
