Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.514299,0.861993,N/A,N/A,TRAIN
1,N/A,N/A,0.007824,0.924083,EVAL
2,0.213068,0.938153,N/A,N/A,TRAIN
2,N/A,N/A,0.005626,0.944333,EVAL
3,0.153698,0.955014,N/A,N/A,TRAIN
3,N/A,N/A,0.004396,0.957333,EVAL
