Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.504518,0.868563,N/A,N/A,TRAIN
1,N/A,N/A,0.007717,0.924583,EVAL
2,0.214888,0.938111,N/A,N/A,TRAIN
2,N/A,N/A,0.005674,0.941417,EVAL
3,0.154350,0.955826,N/A,N/A,TRAIN
3,N/A,N/A,0.004625,0.953167,EVAL
