Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.508974,0.865660,N/A,N/A,TRAIN
1,N/A,N/A,0.007504,0.927750,EVAL
2,0.214289,0.938549,N/A,N/A,TRAIN
2,N/A,N/A,0.005410,0.948417,EVAL
3,0.152901,0.956187,N/A,N/A,TRAIN
3,N/A,N/A,0.004243,0.960000,EVAL
