Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.518578,0.859840,N/A,N/A,TRAIN
1,N/A,N/A,0.007795,0.924583,EVAL
2,0.213415,0.937715,N/A,N/A,TRAIN
2,N/A,N/A,0.005663,0.944500,EVAL
3,0.152450,0.956014,N/A,N/A,TRAIN
3,N/A,N/A,0.004491,0.954750,EVAL
