Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.500110,0.867229,N/A,N/A,TRAIN
1,N/A,N/A,0.008455,0.919083,EVAL
2,0.210324,0.938576,N/A,N/A,TRAIN
2,N/A,N/A,0.005988,0.942917,EVAL
3,0.150619,0.956986,N/A,N/A,TRAIN
3,N/A,N/A,0.004788,0.953500,EVAL
