Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.500596,0.869424,N/A,N/A,TRAIN
1,N/A,N/A,0.007822,0.924000,EVAL
2,0.205799,0.940181,N/A,N/A,TRAIN
2,N/A,N/A,0.005835,0.942667,EVAL
3,0.147033,0.957618,N/A,N/A,TRAIN
3,N/A,N/A,0.004632,0.955000,EVAL
