Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.509280,0.867090,N/A,N/A,TRAIN
1,N/A,N/A,0.008083,0.922083,EVAL
2,0.211433,0.938625,N/A,N/A,TRAIN
2,N/A,N/A,0.005912,0.941917,EVAL
3,0.150386,0.956250,N/A,N/A,TRAIN
3,N/A,N/A,0.004651,0.954500,EVAL
