Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.505940,0.866924,N/A,N/A,TRAIN
1,N/A,N/A,0.008158,0.918417,EVAL
2,0.208717,0.939361,N/A,N/A,TRAIN
2,N/A,N/A,0.005943,0.941000,EVAL
3,0.150782,0.956764,N/A,N/A,TRAIN
3,N/A,N/A,0.005021,0.950833,EVAL
