Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.500143,0.866431,N/A,N/A,TRAIN
1,N/A,N/A,0.008068,0.924000,EVAL
2,0.209508,0.938465,N/A,N/A,TRAIN
2,N/A,N/A,0.005865,0.944250,EVAL
3,0.150778,0.956674,N/A,N/A,TRAIN
3,N/A,N/A,0.004583,0.954667,EVAL
