Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.510936,0.862458,N/A,N/A,TRAIN
1,N/A,N/A,0.008116,0.923333,EVAL
2,0.214946,0.937312,N/A,N/A,TRAIN
2,N/A,N/A,0.005981,0.943583,EVAL
3,0.153929,0.955278,N/A,N/A,TRAIN
3,N/A,N/A,0.004810,0.954750,EVAL
