Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.517615,0.861403,N/A,N/A,TRAIN
1,N/A,N/A,0.007765,0.925167,EVAL
2,0.216138,0.937340,N/A,N/A,TRAIN
2,N/A,N/A,0.005528,0.947167,EVAL
3,0.154049,0.955444,N/A,N/A,TRAIN
3,N/A,N/A,0.004443,0.953833,EVAL
