Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.509245,0.866653,N/A,N/A,TRAIN
1,N/A,N/A,0.008464,0.920833,EVAL
2,0.211076,0.938465,N/A,N/A,TRAIN
2,N/A,N/A,0.006197,0.940083,EVAL
3,0.150491,0.957118,N/A,N/A,TRAIN
3,N/A,N/A,0.004956,0.952250,EVAL
