Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.501636,0.870097,N/A,N/A,TRAIN
1,N/A,N/A,0.007804,0.924750,EVAL
2,0.211603,0.938326,N/A,N/A,TRAIN
2,N/A,N/A,0.005594,0.945667,EVAL
3,0.151740,0.956174,N/A,N/A,TRAIN
3,N/A,N/A,0.004604,0.956333,EVAL
