Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.491740,0.869972,N/A,N/A,TRAIN
1,N/A,N/A,0.007956,0.922417,EVAL
2,0.211220,0.939632,N/A,N/A,TRAIN
2,N/A,N/A,0.005685,0.943500,EVAL
3,0.153462,0.955799,N/A,N/A,TRAIN
3,N/A,N/A,0.004738,0.953333,EVAL
