Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.497099,0.867583,N/A,N/A,TRAIN
1,N/A,N/A,0.007905,0.923917,EVAL
2,0.204091,0.940479,N/A,N/A,TRAIN
2,N/A,N/A,0.005761,0.946083,EVAL
3,0.144935,0.957701,N/A,N/A,TRAIN
3,N/A,N/A,0.004667,0.956250,EVAL
