Round,Train_Loss,Train_Accuracy,Eval_Loss,Eval_Accuracy,Phase
1,0.500419,0.866694,N/A,N/A,TRAIN
1,N/A,N/A,0.007795,0.924250,EVAL
2,0.208405,0.940208,N/A,N/A,TRAIN
2,N/A,N/A,0.005575,0.945083,EVAL
3,0.149478,0.957243,N/A,N/A,TRAIN
3,N/A,N/A,0.004413,0.956667,EVAL
